date|active users (1+)
8/29/11|653
8/30/11|785
8/31/11|873
9/1/11|954
9/2/11|877
9/3/11|687
9/4/11|561
9/5/11|741
9/6/11|873
9/7/11|890
9/8/11|868
9/9/11|855
9/10/11|695
9/11/11|749
9/12/11|794
9/13/11|785
9/14/11|667
9/15/11|864
9/16/11|892
9/18/11|723
9/19/11|850
9/20/11|844
9/21/11|841
9/22/11|782
9/23/11|806
9/24/11|726
9/25/11|687
9/26/11|865
9/27/11|875
9/28/11|819
9/29/11|919
9/30/11|979
10/1/11|975
10/2/11|927
10/3/11|1,090
10/4/11|911
10/5/11|935
10/6/11|825
10/7/11|894
10/8/11|685
10/9/11|681
10/10/11|925
10/11/11|847
10/12/11|947
10/13/11|847
10/14/11|880
10/15/11|797
10/16/11|839
10/17/11|958
10/18/11|990
10/19/11|976
10/20/11|814
10/21/11|913
10/22/11|831
10/23/11|879
10/24/11|967
10/25/11|943
10/26/11|967
10/27/11|915
10/28/11|1,011
10/29/11|977
10/30/11|964
10/31/11|1,239
11/1/11|1,445
11/2/11|1,226
11/3/11|1,147
11/4/11|1,094
11/5/11|1,032
11/6/11|909
11/7/11|1,053
11/8/11|1,047
11/9/11|1,000
11/10/11|1,049
11/11/11|1,017
11/12/11|989
11/13/11|1,022
11/14/11|1,140
11/15/11|1,132
11/16/11|1,076
11/17/11|1,038
11/18/11|1,103
11/19/11|1,014
11/20/11|1,011
11/21/11|1,164
11/22/11|1,053
11/23/11|990
11/24/11|595
11/25/11|561
11/26/11|707
11/27/11|850
11/28/11|1,208
11/29/11|1,224
11/30/11|1,320
12/1/11|1,567
12/2/11|1,364
12/3/11|1,239
12/4/11|1,172
12/5/11|1,464
12/6/11|1,386
12/7/11|1,285
12/8/11|1,179
12/9/11|1,226
12/10/11|1,111
12/11/11|1,156
12/12/11|1,293
12/13/11|1,194
12/14/11|1,255
12/15/11|1,307
12/16/11|1,288
12/17/11|1,174
12/18/11|1,071
12/19/11|1,354
12/20/11|1,368
12/21/11|1,336
12/22/11|1,211
12/23/11|1,080
12/24/11|735
12/25/11|471
12/26/11|703
12/27/11|1,057
12/28/11|1,148
12/29/11|1,274
12/30/11|1,319
12/31/11|1,230
