date|signups
6/11/11|87
6/12/11|76
6/13/11|101
6/14/11|137
6/15/11|151
6/16/11|135
6/17/11|124
6/18/11|65
6/19/11|69
6/20/11|110
6/21/11|119
6/22/11|94
6/23/11|90
6/24/11|73
6/25/11|57
6/26/11|46
6/27/11|104
6/28/11|127
6/29/11|106
6/30/11|102
7/1/11|88
7/2/11|54
7/3/11|52
7/4/11|60
7/5/11|105
7/6/11|203
7/7/11|143
7/8/11|120
7/9/11|92
7/10/11|80
7/11/11|128
7/12/11|98
7/13/11|114
7/14/11|83
7/15/11|87
7/16/11|72
7/17/11|64
7/18/11|98
7/19/11|112
7/20/11|183
7/21/11|117
7/22/11|123
7/23/11|79
7/24/11|75
7/25/11|134
7/26/11|134
7/27/11|105
7/28/11|134
7/29/11|94
7/30/11|88
7/31/11|65
8/1/11|104
8/2/11|123
8/3/11|110
8/4/11|105
8/5/11|138
8/6/11|117
8/7/11|95
8/8/11|149
8/9/11|156
8/10/11|179
8/11/11|168
8/12/11|129
8/13/11|98
8/14/11|111
8/15/11|150
8/16/11|148
8/17/11|172
8/18/11|133
8/19/11|125
8/20/11|81
8/21/11|84
8/22/11|135
8/23/11|149
8/24/11|141
8/25/11|165
8/26/11|89
8/27/11|99
8/28/11|85
8/29/11|145
8/30/11|153
8/31/11|145
9/1/11|154
9/2/11|108
9/3/11|85
9/4/11|93
9/5/11|106
9/6/11|157
9/7/11|148
9/8/11|260
9/9/11|175
9/10/11|103
9/11/11|109
9/12/11|127
9/13/11|122
9/14/11|126
9/15/11|129
9/16/11|111
9/17/11|91
9/18/11|96
9/19/11|133
9/20/11|164
9/21/11|158
9/22/11|141
9/23/11|152
9/24/11|88
9/25/11|91
9/26/11|121
9/27/11|137
9/28/11|231
9/29/11|175
9/30/11|139
10/1/11|95
10/2/11|108
10/3/11|166
10/4/11|145
10/5/11|141
10/6/11|122
10/7/11|117
10/8/11|87
10/9/11|77
10/10/11|131
10/11/11|147
10/12/11|125
10/13/11|103
10/14/11|85
10/15/11|84
10/16/11|95
10/17/11|148
10/18/11|143
10/19/11|133
10/20/11|146
10/21/11|128
10/22/11|93
10/23/11|99
10/24/11|279
10/25/11|185
10/26/11|143
10/27/11|139
10/28/11|162
10/29/11|119
10/30/11|93
10/31/11|172
11/1/11|194
11/2/11|202
11/3/11|174
11/4/11|143
11/5/11|107
11/6/11|107
11/7/11|185
11/8/11|155
11/9/11|164
11/10/11|153
11/11/11|142
11/12/11|139
11/13/11|172
11/14/11|162
11/15/11|166
11/16/11|228
11/17/11|163
11/18/11|154
11/19/11|107
11/20/11|133
11/21/11|176
11/22/11|163
11/23/11|139
11/24/11|104
11/25/11|107
11/26/11|107
11/27/11|112
11/28/11|205
11/29/11|185
11/30/11|196
12/1/11|172
12/2/11|190
12/3/11|123
12/4/11|138
12/5/11|170
12/6/11|178
12/7/11|191
12/8/11|149
12/9/11|153
12/10/11|131
12/11/11|129
12/12/11|267
12/13/11|191
12/14/11|153
12/15/11|180
12/16/11|156
12/17/11|100
12/18/11|155
12/19/11|301
12/20/11|252
12/21/11|230
12/22/11|198
12/23/11|151
12/24/11|112
12/25/11|86
12/26/11|144
12/27/11|181
12/28/11|238
12/29/11|219
12/30/11|202
12/31/11|174
